Entity,Code,Year,Life satisfaction,Purchasing power index,Monthly salary,
Albania,ALB,2019,4.995,16.4,434,Europe
Algeria,DZA,2019,4.745,17.3,296,Africa
Armenia,ARM,2019,5.488,18.8,352,Europe
Australia,AUS,2019,7.234,74.6,4478,Oceania
Austria,AUT,2019,7.195,81,4283,Europe
Azerbaijan,AZE,2019,5.173,23.1,371,Europe
Bangladesh,BGD,2019,5.114,7.9,168,Asia
Belgium,BEL,2019,6.772,75.6,3997,Europe
Benin,BEN,2019,4.976,5.3,107,Africa
Bolivia,BOL,2019,5.674,12.9,267,South America
Botswana,BWA,2019,3.471,22.5,553,Africa
Brazil,BRA,2019,6.451,25.1,654,South America
Bulgaria,BGR,2019,5.108,31.1,795,Europe
Cambodia,KHM,2019,4.998,6.2,124,Asia
Cameroon,CMR,2019,4.937,5.5,125,Africa
Canada,CAN,2019,7.109,67.7,3620,North America
Chile,CHL,2019,5.942,33.7,1123,South America
China,CHN,2019,5.144,26.3,884,Asia
Colombia,COL,2019,6.35,21.3,482,South America
Costa Rica,CRI,2019,6.998,28.2,955,North America
Croatia,HRV,2019,5.626,37.1,1183,Europe
Denmark,DNK,2019,7.693,81.1,5227,Europe
Dominican Republic,DOM,2019,6.004,24.7,605,North America
Ecuador,ECU,2019,5.809,15.5,461,South America
Egypt,EGY,2019,4.328,17,250,Africa
El Salvador,SLV,2019,6.455,11.3,304,North America
Eswatini,SWZ,2019,4.396,14.2,298,Africa
Finland,FIN,2019,7.78,71.3,4135,Europe
France,FRA,2019,6.69,67.3,3524,Europe
Georgia,GEO,2019,4.892,20.5,358,Europe
Germany,DEU,2019,7.035,78.8,3915,Europe
Ghana,GHA,2019,4.967,12.5,186,Africa
Greece,GRC,2019,5.952,41.6,1641,Europe
Hong Kong,HKG,2019,5.659,91.6,4053,Asia
Hungary,HUN,2019,6,46.6,1378,Europe
Iceland,ISL,2019,7.533,95.6,6078,Europe
India,IND,2019,3.249,10.1,158,Asia
Indonesia,IDN,2019,5.347,16.4,323,Asia
Iran,IRN,2019,5.006,8.5,239,Asia
Ireland,IRL,2019,7.255,84.7,5289,Europe
Israel,ISR,2019,7.332,54.7,3589,Asia
Italy,ITA,2019,6.445,57.7,2683,Europe
Japan,JPN,2019,5.908,59,3465,Asia
Kazakhstan,KAZ,2019,6.272,38.6,723,Asia
Kenya,KEN,2019,4.619,6.2,147,Africa
Kosovo,OWID_KOS,2019,6.425,16.8,370,Europe
Kuwait,KWT,2019,6.106,93.6,3024,Asia
Kyrgyzstan,KGZ,2019,5.685,6.8,97,Asia
Laos,LAO,2019,5.197,10.4,207,Asia
Latvia,LVA,2019,5.97,42.1,1478,Europe
Luxembourg,LUX,2019,7.404,98.6,6158,Europe
Malaysia,MYS,2019,5.428,41.1,882,Asia
Mexico,MEX,2019,6.432,24.9,707,North America
Moldova,MDA,2019,5.803,17.7,381,Europe
Mongolia,MNG,2019,5.563,15.9,306,Asia
Montenegro,MNE,2019,5.386,25.4,658,Europe
Morocco,MAR,2019,5.057,10.3,248,Africa
Namibia,NAM,2019,4.436,15.6,377,Africa
Nepal,NPL,2019,5.449,6.4,99,Asia
Netherlands,NLD,2019,7.425,82.6,4418,Europe
New Zealand,NZL,2019,7.205,61.9,3551,Oceania
Nicaragua,NIC,2019,6.113,7.7,154,North America
Nigeria,NGA,2019,4.356,8.6,167,Africa
North Macedonia,MKD,2019,5.015,20.6,477,Europe
Norway,NOR,2019,7.442,105.1,6521,Europe
Pakistan,PAK,2019,4.443,7.8,107,Asia
Paraguay,PRY,2019,5.653,20.2,428,South America
Philippines,PHL,2019,6.268,12.7,286,Asia
Poland,POL,2019,6.242,46.7,1273,Europe
Portugal,PRT,2019,6.095,44.9,1833,Europe
Romania,ROU,2019,6.13,41.4,1048,Europe
Russia,RUS,2019,5.441,42.7,891,Europe
Saudi Arabia,SAU,2019,6.561,73.7,1828,Asia
Senegal,SEN,2019,5.489,5.3,119,Africa
Serbia,SRB,2019,6.241,23.3,617,Europe
Singapore,SGP,2019,6.378,111.3,4577,Asia
South Africa,ZAF,2019,5.035,19.4,451,Africa
South Korea,KOR,2019,5.903,59.8,2738,Asia
Spain,ESP,2019,6.457,57.6,2528,Europe
Sri Lanka,LKA,2019,4.213,17.7,310,Asia
Sweden,SWE,2019,7.398,78.5,4483,Europe
Switzerland,CHE,2019,7.694,93.3,7329,Europe
Tajikistan,TJK,2019,5.464,6.4,88,Asia
Thailand,THA,2019,6.022,26.3,588,Asia
Tunisia,TUN,2019,4.315,16.1,258,Africa
Turkey,TUR,2019,4.872,38.5,754,Asia
Ukraine,UKR,2019,4.702,17.8,295,Europe
United Arab Emirates,ARE,2019,6.711,91.2,3623,Asia
United Kingdom,GBR,2019,7.157,63.5,3511,Europe
United States,USA,2019,6.944,100,5493,North America
Vietnam,VNM,2019,5.467,11.5,222,Asia
Zambia,ZMB,2019,3.307,6.1,99,Africa